Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.0187	-0.3488355	-0.5644207	-0.1656699	
0.01875	-0.3494757	-0.5652565	-0.16607	
0.0188	-0.3501151	-0.5660896	-0.1664699	
0.01885	-0.3507535	-0.5669201	-0.1668696	
0.0189	-0.351391	-0.5677481	-0.1672689	
0.01895	-0.3520277	-0.5685734	-0.1676679	
0.019	-0.3526635	-0.5693961	-0.1680666	
0.01905	-0.3532983	-0.5702163	-0.1684651	
0.0191	-0.3539323	-0.5710338	-0.1688633	
0.01915	-0.3545654	-0.5718489	-0.1692611	
0.0192	-0.3551976	-0.5726613	-0.1696587	
0.01925	-0.3558289	-0.5734712	-0.170056	
0.0193	-0.3564594	-0.5742785	-0.1704531	
0.01935	-0.357089	-0.5750833	-0.1708498	
0.0194	-0.3577178	-0.5758855	-0.1712463	
0.01945	-0.3583457	-0.5766851	-0.1716424	
0.0195	-0.3589727	-0.5774823	-0.1720383	
0.01955	-0.3595989	-0.5782769	-0.1724339	
0.0196	-0.3602243	-0.579069	-0.1728292	
0.01965	-0.3608488	-0.5798585	-0.1732243	
0.0197	-0.3614724	-0.5806456	-0.173619	
0.01975	-0.3620953	-0.5814301	-0.1740135	
0.0198	-0.3627172	-0.5822122	-0.1744077	
0.01985	-0.3633384	-0.5829918	-0.1748016	
0.0199	-0.3639588	-0.5837688	-0.1751953	
0.01995	-0.3645783	-0.5845434	-0.1755886	
0.02	-0.365197	-0.5853155	-0.1759817	
0.02005	-0.3658149	-0.5860851	-0.1763745	
0.0201	-0.366432	-0.5868523	-0.176767	
0.02015	-0.3670483	-0.5876169	-0.1771592	
0.0202	-0.3676637	-0.5883791	-0.1775512	
0.02025	-0.3682784	-0.5891389	-0.1779429	
0.0203	-0.3688923	-0.5898962	-0.1783343	
0.02035	-0.3695054	-0.590651	-0.1787254	
0.0204	-0.3701177	-0.5914035	-0.1791162	
0.02045	-0.3707292	-0.5921535	-0.1795068	
0.0205	-0.37134	-0.5929011	-0.1798971	
0.02055	-0.3719499	-0.5936462	-0.1802871	
0.0206	-0.3725591	-0.5943889	-0.1806769	
0.02065	-0.3731675	-0.5951292	-0.1810663	
